material,ROI (days),net profit per day,build cost per day,gross income per day,repair costs per day,input costs per day,consumable costs per day
LCB,30.00000034228161,9914.49510156066,297434.85644036916,3448642.8453682214,1181.8427654993998,3432830.2714480083,4716.236053153093
LFL,30.000000324867386,9914.495107315768,297434.85644036916,3408726.109003451,1181.8427654993998,3392913.535077483,4716.236053153093
LFP,30.000000007753673,12740.771664922659,382223.15004646755,139080.24092833878,2207.5337865489937,116280.66652136056,7851.268955506572
DOU,30.617180289646264,9491.86007424274,290613.99117718515,437047.829878034,1275.5358264566466,422638.0094190471,3642.4245582875255
FUN,30.6171802664459,9491.860081435258,290613.99117718515,171232.42485791675,1275.5358264566466,156822.60439173732,3642.4245582875255
LU,30.617180285185555,9491.860075625638,290613.99117718515,258996.9496078735,1275.5358264566466,244587.1291475037,3642.4245582875255
RDL,30.617180312097197,9491.86006728256,290613.99117718515,476172.3722661446,1275.5358264566466,461762.5518141179,3642.4245582875255
RDS,30.61718030613181,9491.860069131933,290613.99117718515,424927.238891511,1275.5358264566466,410517.4184376349,3642.4245582875255
SU,30.617180281105238,9491.860076890607,290613.99117718515,317313.15909259795,1275.5358264566466,302903.3386309632,3642.4245582875255
TCU,30.617180287096442,9491.86007503323,290613.99117718515,239470.59541688533,1275.5358264566466,225060.77495710793,3642.4245582875255
WOR,30.617180280771503,9491.860076994071,290613.99117718515,216301.35331640206,1275.5358264566466,201891.53285466382,3642.4245582875255
APT,30.000000015798104,56377.97424259588,1691339.2281685416,927900.2389961861,5448.373554371259,853064.5039906005,13009.38720861846
ARP,30.000000000909086,56377.974270576306,1691339.2281685416,393646.4060585069,5448.373554371259,318810.6710249409,13009.38720861846
AWH,30.000000099896283,14008.282302533376,420248.47047537664,2206096.4646018073,1668.9790551682086,2183559.2235304285,6859.979713677227
BPT,30.00000000470848,56377.974263436234,1691339.2281685416,328643.9682156857,5448.373554371259,253808.23318925974,13009.38720861846
BRP,30.000000004396128,56377.97426402323,1691339.2281685416,305636.757967387,5448.373554371259,230801.02294037404,13009.38720861846
BWH,30.000000060152406,14008.282321091492,420248.47047537664,964046.794510404,1668.9790551682086,941509.5534204671,6859.979713677227
SRP,30.000000024904903,56377.97422548178,1691339.2281685416,1486380.2323520924,5448.373554371259,1411544.497363621,13009.38720861846
AAR,30.000000004971053,42454.66914442304,1273640.0745437355,244944.04664924406,7358.24309819918,189426.41244323953,5704.7219633823115
AWF,30.000000003516206,42454.66914648187,1273640.0745437355,195597.3755099609,7358.24309819918,140079.74130189753,5704.7219633823115
LSL,30.00000017716422,9914.495156129178,297434.85644036916,1781280.1863907434,1181.8427654993998,1765467.6124159617,4716.236053153093
CAP,30.00000000174918,24297.23062020231,728916.9186485695,64631.9974399126,4249.5811145581665,30363.97371054681,5721.211994605314
HCC,30.000000009200807,8922.172844488603,267665.1854167493,90342.86068453187,1405.5982769606244,74407.04030914938,5608.049253933265
LDI,30.00000000191555,24297.230620067567,728916.9186485695,59515.423822916724,4249.5811145581665,25247.400093685672,5721.211994605314
MFK,30.0000000076264,8922.17284495684,267665.1854167493,79543.39042743774,1405.5982769606244,63607.57005158701,5608.049253933265
FEO,31.662222149304313,19824.252366567584,627679.8823741346,26630.441521922872,3141.6987767877513,0.0,3664.490378567537
SIO,34.446749309303684,7410.427049731993,255265.12285700088,11980.48271135711,905.5652830575801,0.0,3664.490378567537
TIO,31.446704318614,22777.50260387794,716277.3895006101,31957.68093193915,5515.687949493673,0.0,3664.490378567537
BR1,30.617180304099914,9491.860069761857,290613.99117718515,498466.41691007937,1275.5358264566466,484056.59645557334,3642.4245582875255
BR2,30.617180298917283,9491.860071368563,290613.99117718515,521269.82528015546,1275.5358264566466,506860.0048240427,3642.4245582875255
BRS,30.61718027088774,9491.86008005821,290613.99117718515,281007.6389200309,1275.5358264566466,266597.8184552285,3642.4245582875255
CQL,30.61718041172414,9491.860036396469,290613.99117718515,1490142.175377184,1275.5358264566466,1475732.3549560434,3642.4245582875255
CQM,30.61718041481761,9491.86003543744,290613.99117718515,1489450.0166186383,1275.5358264566466,1475040.1961984567,3642.4245582875255
CQS,30.61718043016404,9491.860030679778,290613.99117718515,1603632.5039133339,1275.5358264566466,1589222.68349791,3642.4245582875255
CQT,30.617180267801217,9491.860081015086,290613.99117718515,349458.9564399406,1275.5358264566466,335049.13597418135,3642.4245582875255
SEA,37.52811035315172,10213.549346529471,383295.2069739186,93413.43975069767,1344.7311515015144,73304.68170267576,8550.47754999092
DW,34.33646761432625,9794.116265240988,336295.35595239315,33975.01113267369,1142.1504308257136,18315.62350423105,4723.120932375936
EXO,37.52811035251052,10213.549346703978,383295.2069739186,94983.16762987842,1344.7311515015144,74874.409581682,8550.47754999092
FIM,34.33646761641808,9794.116264644315,336295.35595239315,60333.7249271652,1142.1504308257136,44674.33729931924,4723.120932375936
HMS,30.000000002804416,10027.575937091247,300827.2781408589,61615.77709000395,1807.6810031553448,46490.46458744984,3290.0555623075156
HSS,30.00000000721297,10027.575935617677,300827.2781408589,160141.1161397401,1807.6810031553448,145015.80363865956,3290.0555623075156
LC,30.0000000116786,10027.575934125029,300827.2781408589,361258.7415238576,1807.6810031553448,346133.4290242697,3290.0555623075156
MEA,34.33646761802994,9794.116264184548,336295.35595239315,115713.74738301116,1142.1504308257136,100054.35975562496,4723.120932375936
MED,31.60474266203286,9582.686224168929,302858.3321258663,140224.13694061624,959.9658607589503,118549.86659908229,11131.618256606069
OVE,37.52811034830592,10213.54934784829,383295.2069739186,55372.56084672451,1344.7311515015144,35263.80279738379,8550.47754999092
PDA,30.00000000145381,150397.91332873507,4511937.400080702,736027.9727630077,24040.839793377152,543676.937714118,17912.28192677747
PT,37.528110348510985,10213.54934779248,383295.2069739186,50640.391674046674,1344.7311515015144,30531.633624761762,8550.47754999092
RAT,34.3364676152066,9794.116264989876,336295.35595239315,45782.73477961176,1142.1504308257136,30123.347151420236,4723.120932375936
SCN,30.000000001232674,18283.074536781187,548492.2361259727,44081.26385832528,3167.134319159412,17770.745648975848,4860.30935340883
WS,30.00000000182492,150397.9133268746,4511937.400080702,380034.9114836425,24040.839793377152,187683.8764366133,17912.28192677747
IDC,30.000000000884253,150806.18333535985,4524185.500194146,222566.86468421575,18996.530195221585,0.0,52764.151153634295
IMM,30.000000004887795,150806.18331523455,4524185.500194146,926256.4421175169,18996.530195221585,703689.5774534264,52764.151153634295
SNM,30.00000000492543,150806.18331504537,4524185.500194146,1572227.206663087,18996.530195221585,1349660.3419991857,52764.151153634295
WAI,30.00000000273716,150806.18332604552,4524185.500194146,539636.3118730483,18996.530195221585,317069.4471981469,52764.151153634295
PSM,30.000000002119084,12740.771667315626,382223.15004646755,37556.23420877177,2207.5337865489937,14756.65979940058,7851.268955506572
PK,30.0000000053182,26701.95110159862,801058.533189965,189742.45085665025,3445.0196803444696,153973.74412115102,5621.735953556141
SEQ,30.00000001455154,8922.172842897264,267665.1854167493,285480.88936177496,1405.5982769606244,269545.0689879838,5608.049253933265
STR,37.528110354335304,10213.54934620735,383295.2069739186,120500.79160240889,1344.7311515015144,100392.03355470911,8550.47754999092
TUB,30.000000004536883,13360.53352305042,400816.0057521278,98232.10467628617,1819.055565845086,75874.21254235608,7178.30304503458
CD,30.00000000258843,42454.66914779482,1273640.0745437355,142104.614682602,7358.24309819918,86586.98047322569,5704.7219633823115
DIS,30.00000000131885,42851.10445853456,1285533.133812551,81234.12790393012,7358.24309819918,26527.391584351462,4497.388762844914
FAN,30.000000005718434,42851.10445225032,1285533.133812551,278044.3201609139,7358.24309819918,223337.5838476195,4497.388762844914
MB,30.00000000600893,42851.10445183539,1285533.133812551,378486.99536471925,7358.24309819918,323780.25905183976,4497.388762844914
MPC,30.000000002189317,35564.38874219903,1066931.6623438327,142664.81764149116,5266.691942842222,97555.19548391318,4278.541472536733
PCB,30.000000002292612,35564.388742076575,1066931.6623438327,130416.01500625303,5266.691942842222,85306.3928487975,4278.541472536733
RAM,30.000000002181142,35564.38874220872,1066931.6623438327,144989.3772827513,5266.691942842222,99879.75512516362,4278.541472536733
ROM,30.0000000088568,35564.388734294866,1066931.6623438327,439900.6036073258,5266.691942842222,394790.981457652,4278.541472536733
SEN,30.000000004663395,35564.38873926606,1066931.6623438327,199191.33317085533,5266.691942842222,154081.71101621032,4278.541472536733
TPU,30.000000001368708,35564.38874317185,1066931.6623438327,84454.25539063316,5266.691942842222,39344.633232082364,4278.541472536733
TRA,30.0000000015373,24297.230620373914,728916.9186485695,58595.48202189922,4249.5811145581665,24327.458292361818,5721.211994605314
CBL,30.000000013462813,51107.98571048364,1533239.5720025664,982352.5538362986,8188.598654731326,918558.5807082388,4497.388762844914
CBM,30.00000001151137,51107.98571380811,1533239.5720025664,835714.4067965264,8188.598654731326,771920.433665142,4497.388762844914
CBS,30.000000011228533,51107.98571428996,1533239.5720025664,742322.5253211536,8188.598654731326,678528.5521892874,4497.388762844914
POW,30.000000002548806,51107.98572907674,1533239.5720025664,155017.790711997,8188.598654731326,91223.81756534401,4497.388762844914
SOL,30.000000002393993,51107.98572934048,1533239.5720025664,220744.5708721748,8188.598654731326,156950.5977252581,4497.388762844914
LIO,31.66222214930431,19824.252366567587,627679.8823741346,26630.441521922876,3141.6987767877513,0.0,3664.490378567537
MFE,30.00000001314654,24297.2306109715,728916.9186485695,1499290.30820929,4249.5811145581665,1465022.284489155,5721.211994605314
NN,30.000000002604885,97695.42410161401,2930862.723302906,366086.58961062744,13343.201983080113,227688.55137063266,27359.41215530066
RSH,30.00000000246853,72464.37304764861,2173931.1916083386,220141.6495803459,7039.762971293535,122290.30769553153,18347.20586587222
TCS,30.00000000274961,37471.706987915255,1124151.2097404902,143409.41894967746,4273.388813621102,90254.87922137648,11409.443926764623
TSH,30.000000002267214,72464.37304813488,2173931.1916083386,209399.98492720773,7039.762971293535,111548.6430419071,18347.20586587222
AST,30.000000002743427,36537.61321131582,1096128.3964397127,127856.15788459849,2409.1233755526205,70632.09166912042,18277.329628609637
BGO,30.000000007922864,8922.17284486867,267665.1854167493,92481.12573497796,1405.5982769606244,76545.3053592154,5608.049253933265
BOS,30.000000001199272,124317.8791547425,3729536.374791366,194564.83110101003,18255.461929512687,35978.03404499357,16013.455971761274
BRO,30.000000001996792,8922.172846631118,267665.1854167493,52456.05672643054,1405.5982769606244,36520.236348905535,5608.049253933265
FAL,30.000000001432127,36537.613212912875,1096128.3964397127,105715.90878337831,2409.1233755526205,48491.84256630318,18277.329628609637
FET,30.00000000256842,36537.61321152896,1096128.3964397127,126553.68262534006,2409.1233755526205,69329.61640964885,18277.329628609637
RGO,30.000000007922864,8922.17284486867,267665.1854167493,94653.95960028359,1405.5982769606244,78718.13922452103,5608.049253933265
WAL,30.00000001008401,36537.61320237557,1096128.3964397127,408076.9142525272,2409.1233755526205,350852.84804598935,18277.329628609637
CBU,30.506495955731562,15903.405675616592,485157.18092555593,4997749.8005201155,2376.3308234331516,4975284.244143997,4185.8198770684685
EBU,30.506495898776695,15903.405705307854,485157.18092555593,2089708.478130738,2376.3308234331516,2067242.9217249285,4185.8198770684685
PBU,30.50649588385191,15903.405713088327,485157.18092555593,255420.39891338072,2376.3308234331516,232954.84249979077,4185.8198770684685
SBU,30.50649588723291,15903.40571132577,485157.18092555593,412724.1681459586,2376.3308234331516,390258.61173413123,4185.8198770684685
TBU,30.50649589191141,15903.40570888681,485157.18092555593,614444.4121115116,2376.3308234331516,591978.8557021231,4185.8198770684685
ADR,30.000000002463192,26701.951104139764,801058.533189965,302253.35098965,3445.0196803444696,266484.6442516096,5621.735953556141
BND,30.000000000978645,26701.951105461107,801058.533189965,209389.20702837536,3445.0196803444696,173620.50028901364,5621.735953556141
HAB,30.617180271911668,9491.860079740774,290613.99117718515,125806.31721632354,1275.5358264566466,111396.4967518386,3642.4245582875255
O,34.153165234914916,10138.226824075551,346252.535911699,16158.786757288774,1338.1555605991477,0.0,4682.404372614075
NV1,30.000000000987942,150397.9133310706,4511937.400080702,739228.8652946061,24040.839793377152,546877.8302433809,17912.28192677747
FSE,30.00000004072464,86739.57497003046,2602187.252633352,3778054.01271471,8234.847210132042,3631364.7259250446,51714.86460950295
GCH,30.000000008036523,13360.533521491852,400816.0057521278,166982.68466654362,1819.055565845086,144624.7925341721,7178.30304503458
GEN,30.000000059015182,13360.533498788449,400816.0057521278,1155176.060932916,1819.055565845086,1132818.1688232478,7178.30304503458
GNZ,30.000000004373767,13360.533523123064,400816.0057521278,168645.21449996368,1819.055565845086,146287.32236596095,7178.30304503458
HNZ,30.00000000437502,86739.57507512881,2602187.252633352,1287615.0374402602,8234.847210132042,1140925.7505454964,51714.86460950295
HPR,30.000000015628896,86739.57504259027,2602187.252633352,1375266.0381688732,8234.847210132042,1228576.751306648,51714.86460950295
HTE,30.000000042517023,86739.57496484811,2602187.252633352,4419537.845497456,8234.847210132042,4272848.558712973,51714.86460950295
HYR,30.00000002163681,86739.57502521947,2602187.252633352,1955676.8449977792,8234.847210132042,1808987.5581529248,51714.86460950295
LFE,30.000000017147887,42454.66912719092,1273640.0745437355,1702224.4300905552,7358.24309819918,1646706.7959017828,5704.7219633823115
NOZ,30.000000007166303,86739.57506705832,2602187.252633352,841398.3459191216,8234.847210132042,694709.0590324283,51714.86460950295
QCR,30.00000001355479,86739.57504858717,2602187.252633352,1147441.9585875394,8234.847210132042,1000752.6717193172,51714.86460950295
RAG,30.00000002194577,51107.985696032076,1533239.5720025664,1188510.348619344,8188.598654731326,1124716.3755057356,4497.388762844914
RCS,30.000000002594657,150397.9133230157,4511937.400080702,561754.1244419304,24040.839793377152,369403.0893987601,17912.28192677747
RCT,30.000000000885603,86739.57508521783,2602187.252633352,1308167.8837682458,8234.847210132042,1161478.596863393,51714.86460950295
SFE,30.000000013147403,24297.2306109708,728916.9186485695,1878066.7370982037,4249.5811145581665,1843798.7133780695,5721.211994605314
DA,30.000000002088573,97695.4241032954,2930862.723302906,312176.77122826787,13343.201983080113,173778.7329865917,27359.41215530066
DD,30.000000001658304,97695.42410469658,2930862.723302906,240857.88635986202,13343.201983080113,102459.84811678468,27359.41215530066
DV,30.000000000883848,97695.4241072186,2930862.723302906,138398.03824559937,13343.201983080113,0.0,27359.41215530066
EDC,30.00000000088383,97695.42410721866,2930862.723302906,138398.03824559943,13343.201983080113,0.0,27359.41215530066
OS,30.000000001787374,97695.42410427626,2930862.723302906,268732.0879826008,13343.201983080113,130334.04973994377,27359.41215530066
AEF,31.35075168150316,10164.806718135555,318674.3313107428,42722.63313426449,1124.7475524707847,27102.183245621713,4330.89561803644
ALE,30.00000000323725,10657.037641288905,319711.12927316665,47944.13488502455,1771.580578186302,29234.501501144085,6281.015164405257
COF,34.33646761637803,9794.116264655739,336295.35595239315,68170.77243501713,1142.1504308257136,52511.384807159746,4723.120932375936
GIN,30.000000003157737,10657.03764131715,319711.12927316665,52739.46610730834,1771.580578186302,34029.83272339963,6281.015164405257
KOM,30.000000003016268,10657.037641367406,319711.12927316665,52892.53491905518,1771.580578186302,34182.901535096215,6281.015164405257
NST,30.000000001978677,33474.51304432318,1004235.3913959308,101875.2291849139,4385.670415926438,48158.28497411046,15856.76075055382
PWO,37.52811035629611,10213.549345673702,383295.2069739186,127807.4042382713,1344.7311515015144,107698.64619110516,8550.47754999092
REP,37.52811034958797,10213.549347499371,383295.2069739186,73518.72542362688,1344.7311515015144,53409.967374635075,8550.47754999092
SC,31.604742692524137,9582.68621492385,302858.3321258663,422484.06986979896,959.9658607589503,400809.7995375101,11131.618256606069
VG,30.00000000215732,48037.467280771525,1441124.018526778,141617.37166156142,8181.714721717075,75414.92622315379,9983.263435919043
WIN,30.000000037114614,10657.037629254493,319711.12927316665,482974.6581897039,1771.580578186302,464265.02481785783,6281.015164405257
AEN,30.000000059555028,86739.5749155858,2602187.252633352,4623532.771697809,8234.847210132042,4476843.484962588,51714.86460950295
AFP,30.000000039145014,86739.57497459766,2602187.252633352,3413158.5810632096,8234.847210132042,3266469.294268977,51714.86460950295
AFR,30.000000030210156,8922.172838240302,267665.1854167493,292970.51892855624,1405.5982769606244,277034.69855942205,5608.049253933265
ANZ,30.00000000537187,86739.5750722466,2602187.252633352,882364.650249891,8234.847210132042,735675.3633580094,51714.86460950295
BFP,30.000000004946262,86739.57507347717,2602187.252633352,528388.2125840739,8234.847210132042,381698.9256909617,51714.86460950295
BFR,30.000000003386955,8922.172846217676,267665.1854167493,40728.776888532055,1405.5982769606244,24792.95651142049,5608.049253933265
CHA,34.6475166527971,9926.427248101341,343926.05338137015,1126773.655840654,1239.1823991959775,1110477.759663362,5130.2865299945515
ENG,30.000000012160577,86739.57505261828,2602187.252633352,4177951.827490145,8234.847210132042,4031262.5406178916,51714.86460950295
FIR,30.000000017607736,51107.98570342235,1533239.5720025664,1803124.8703363314,8188.598654731326,1739330.8972153328,4497.388762844914
AU,33.751205740121435,10248.53498947196,345900.4129645014,41323.322980780096,1624.5792784598807,25174.969937852795,4275.23877499546
LI,33.751205738977,10248.534989819467,345900.4129645014,52257.90748557585,1624.5792784598807,36109.55444230104,4275.23877499546
SI,33.75120574235742,10248.534988793004,345900.4129645014,94412.04132873061,1624.5792784598807,78263.68828648227,4275.23877499546
STL,33.751205738010654,10248.5349901129,345900.4129645014,61063.267249523524,1624.5792784598807,44914.91420595528,4275.23877499546
TI,33.75120573862484,10248.534989926402,345900.4129645014,42016.209643475275,1624.5792784598807,25867.85660009353,4275.23877499546
W,30.000000001103412,124317.87915513974,3729536.374791366,177083.5712037984,18255.461929512687,18496.774147384705,16013.455971761274
ACS,30.000000001260748,150397.91332970295,4511937.400080702,1318531.9680778778,24040.839793377152,1126180.9330280202,17912.28192677747
ADS,30.000000000987978,150397.91333107042,4511937.400080702,631127.7596398214,24040.839793377152,438776.7245885963,17912.28192677747
CC,30.00000000280625,129256.64059250368,3877699.218137837,969785.0161702256,16997.515529253593,786212.2146060957,37318.645442372625
COM,30.00000000098799,150397.91333107036,4511937.400080702,560094.0621170339,24040.839793377152,367743.0270658089,17912.28192677747
CRU,30.00000000136873,129256.64059869733,3877699.218137837,492280.6907797448,16997.515529253593,308707.8892094213,37318.645442372625
FFC,30.000000000988013,150397.91333107025,4511937.400080702,788163.8225514853,24040.839793377152,595812.7875002604,17912.28192677747
LIS,30.00000000642367,150397.91330381986,4511937.400080702,1285827.0933214964,24040.839793377152,1093476.058297522,17912.28192677747
LOG,30.000000001505537,150397.91332847576,4511937.400080702,408284.37569212844,24040.839793377152,215933.34064349806,17912.28192677747
STS,30.000000000966892,129256.64060042865,3877699.218137837,404417.8050489025,16997.515529253593,220845.00347684766,37318.645442372625
TAC,30.000000001039172,129256.64060011724,3877699.218137837,316094.52760287013,16997.515529253593,132521.7260311267,37318.645442372625
WR,30.00000000110556,150397.91333048095,4511937.400080702,550030.8600662049,24040.839793377152,357679.82501556934,17912.28192677747
CF,33.75120574337062,10248.534988485348,345900.4129645014,113894.10541831667,1624.5792784598807,97745.75237637598,4275.23877499546
COT,30.00000000172734,9103.473084712172,273104.19255708996,25075.62008275853,1064.925724580549,10196.459900161866,4710.7613733039425
CTF,30.00000000090717,36537.61321355223,1096128.3964397127,276814.26752728515,2409.1233755526205,219590.20130957066,18277.329628609637
KV,30.00000000643437,9103.473083283829,273104.19255708996,85462.64167889184,1064.925724580549,70583.48149772352,4710.7613733039425
GV,34.647516652301775,9926.427248243252,343926.05338137015,46186.34391953997,1239.1823991959775,29890.44774210619,5130.2865299945515
DCS,30.000000003796096,12740.771666603412,382223.15004646755,64634.50219940702,2207.5337865489937,41834.92779074804,7851.268955506572
PE,37.52811034804709,10213.549347918732,383295.2069739186,49165.98441574042,1344.7311515015144,29057.226366329258,8550.47754999092
PG,30.54442951008628,18157.894207345285,554622.5196678621,54208.13803861438,3101.449502804625,26802.20288635427,6146.5914421102
PSL,30.02349178638374,12730.802691638068,382223.15004646755,42465.15183289441,2207.5337865489937,19675.546399200775,7851.268955506572
PSS,30.00000000100521,12740.77166778868,382223.15004646755,37556.23420924482,2207.5337865489937,14756.65979940058,7851.268955506572
BAC,30.000000001022386,33474.51304539023,1004235.3913959308,55266.4083897903,4385.670415926438,1549.464177919804,15856.76075055382
BL,30.000000001093024,33474.51304531141,1004235.3913959308,57700.56515937533,4385.670415926438,3983.6209475836586,15856.76075055382
BLE,30.000000001287102,33474.513045094856,1004235.3913959308,67809.90349011193,4385.670415926438,14092.959278536817,15856.76075055382
PFE,31.604742655463347,9582.686226160831,302858.3321258663,63869.87122326786,959.9658607589503,42195.60087974201,11131.618256606069
F,31.596741657106698,26369.783119777276,833199.2247895356,34428.75636827293,3376.5688758815813,0.0,4682.404372614075
H,31.59674165710668,26369.78311977729,833199.2247895356,34428.756368272945,3376.5688758815813,0.0,4682.404372614075
HE,31.596741657106687,26369.783119777283,833199.2247895356,34428.75636827294,3376.5688758815813,0.0,4682.404372614075
HE3,31.596741657106698,26369.783119777276,833199.2247895356,34428.75636827293,3376.5688758815813,0.0,4682.404372614075
N,31.596741657106698,26369.783119777276,833199.2247895356,34428.75636827293,3376.5688758815813,0.0,4682.404372614075
MTP,30.000000000974083,48037.467282666184,1441124.018526778,70538.51680980409,8181.714721717075,4336.071369501796,9983.263435919043
MUS,31.261168628404626,29031.54938514116,907560.1608727544,49689.685059833624,5079.094126675262,7768.686069208872,7810.355478808328
ATA,30.977777779513723,70177.1188069535,2173931.1916083386,175671.80400698842,7039.762971293535,80107.71636286916,18347.20586587222
BBH,32.43352422438512,9825.461121833556,318674.3313107428,55710.17919249585,1124.7475524707847,40429.07490015507,4330.89561803644
LSE,31.524202182183167,10108.878552074857,318674.3313107428,173915.88425556655,1124.7475524707847,158351.36253298447,4330.89561803644
RTA,30.442696726137132,19030.7485710919,579347.3072211182,135876.3637961694,2398.030738458915,106429.67567439743,8017.908812221166
FF,33.364877524025474,10445.887515665074,348525.7575899119,81228.70637494294,1265.3104204073902,63215.95102005357,6301.557418816899
AGS,30.000000000763325,56377.97427085023,1691339.2281685416,465281.80095140694,5448.373554371259,390446.065917567,13009.38720861846
AHP,30.000000002970264,14008.282347792278,420248.47047537664,273968.78972651815,1668.9790551682086,251431.54860988044,6859.979713677227
ATP,30.00000000061001,14008.282348894381,420248.47047537664,1663119.5870492442,1668.9790551682086,1640582.3459315044,6859.979713677227
BGS,30.00000000076337,56377.97427085014,1691339.2281685416,236759.2096863648,5448.373554371259,161923.47465252495,13009.38720861846
BHP,30.000000011232405,14008.282343934332,420248.47047537664,258126.05307312493,1668.9790551682086,235588.81196034516,6859.979713677227
HHP,30.000000006983345,14008.282345918398,420248.47047537664,296385.0649871156,1668.9790551682086,273847.8238723518,6859.979713677227
LHP,30.00000001123234,14008.282343934361,420248.47047537664,230986.82318444783,1668.9790551682086,208449.58207166803,6859.979713677227
BDE,38.103426621830984,7334.872733923262,279483.7849975138,41585.162416070096,852.1130522807573,27860.72450225291,5537.452127613166
BSE,37.70940847117274,7411.5133683724425,279483.7849975138,37435.09893900069,852.1130522807573,23634.02039073432,5537.452127613166
BTA,36.68679608987188,7618.102826773441,279483.7849975138,63205.124155405865,852.1130522807573,49197.4561487385,5537.452127613166
HSE,30.000000000569564,19311.576907003968,579347.3072211182,268829.50023583125,2398.030738458915,239101.9837781472,8017.908812221166
LBH,31.350751682415165,10164.806717839856,318674.3313107428,79666.52590078839,1124.7475524707847,64046.07601244131,4330.89561803644
LDE,31.353466451978438,10163.926588430993,318674.3313107428,164541.493702418,1124.7475524707847,148921.92394347978,4330.89561803644
MFL,30.000000226257708,9914.495139904608,297434.85644036916,2390852.048512795,1181.8427654993998,2375039.474554238,4716.236053153093
MSL,30.000000000248306,9914.495214596911,297434.85644036916,924767.3201839746,1181.8427654993998,908954.7461507252,4716.236053153093
SCB,30.00000000024901,9914.495214596678,297434.85644036916,620622.7242793874,1181.8427654993998,604810.1502461382,4716.236053153093
SFL,30.000000188587947,9914.49515235383,297434.85644036916,1992095.545117199,1181.8427654993998,1976282.9711461926,4716.236053153093
SSL,30.000000000248836,9914.495214596736,297434.85644036916,349439.8446965051,1181.8427654993998,333627.2706632559,4716.236053153093
SP,30.00000000120787,51107.98573136116,1533239.5720025664,395214.12711032236,8188.598654731326,331420.15396138496,4497.388762844914
BOR,31.6622221486819,19824.252366957287,627679.8823741346,26630.441522312576,3141.6987767877513,0.0,3664.490378567537
BRM,31.662222148681895,19824.25236695729,627679.8823741346,26630.44152231258,3141.6987767877513,0.0,3664.490378567537
CLI,31.662222148681888,19824.252366957295,627679.8823741346,26630.441522312583,3141.6987767877513,0.0,3664.490378567537
GAL,34.44674930816078,7410.427049977862,255265.12285700088,11980.48271160298,905.5652830575801,0.0,3664.490378567537
HAL,32.956910298023715,11144.170108808852,367277.4146219305,16834.348688083268,2025.688200706877,0.0,3664.490378567537
LST,31.662222148681895,19824.25236695729,627679.8823741346,26630.44152231258,3141.6987767877513,0.0,3664.490378567537
MAG,31.6622221486819,19824.252366957287,627679.8823741346,26630.441522312576,3141.6987767877513,0.0,3664.490378567537
MGS,31.95945752277233,16817.058283965056,537464.0598843677,22603.21034997537,2121.661687442773,0.0,3664.490378567537
